decision_date,dt,horizon,pred_mw,load_plan_mw,actual_mw
2024-12-30,2024-12-31 00:00:00,1,36736.10223512874,36697.0,35892.28
2024-12-30,2024-12-31 01:00:00,1,34270.91205390793,34729.0,33609.88
2024-12-30,2024-12-31 02:00:00,1,32761.099584291995,33526.0,32105.37
2024-12-30,2024-12-31 03:00:00,1,32275.189890350746,33060.0,31226.03
2024-12-30,2024-12-31 04:00:00,1,31705.714307598635,32973.0,31001.77
2024-12-30,2024-12-31 05:00:00,1,32035.171020309994,33229.0,31192.6
2024-12-30,2024-12-31 06:00:00,1,33412.85108712917,34271.0,32409.68
2024-12-30,2024-12-31 07:00:00,1,36664.420230562384,37325.0,35513.23
2024-12-30,2024-12-31 08:00:00,1,41747.80655207856,44481.0,40849.89
2024-12-30,2024-12-31 09:00:00,1,45028.553204626114,47911.0,43640.3
2024-12-30,2024-12-31 10:00:00,1,45856.8515543212,48588.0,44275.74
2024-12-30,2024-12-31 11:00:00,1,46149.19418816687,48678.0,44208.95
2024-12-30,2024-12-31 12:00:00,1,44642.802352917024,47586.0,42291.71
2024-12-30,2024-12-31 13:00:00,1,44678.70130034935,47615.0,42074.71
2024-12-30,2024-12-31 14:00:00,1,45075.9843203597,47881.0,42190.44
2024-12-30,2024-12-31 15:00:00,1,44957.8467294259,47589.0,41456.93
2024-12-30,2024-12-31 16:00:00,1,45784.342617500275,47619.0,41326.1
2024-12-30,2024-12-31 17:00:00,1,47038.042949760325,48011.0,42680.04
2024-12-30,2024-12-31 18:00:00,1,45931.90435904536,47392.0,42467.2
2024-12-30,2024-12-31 19:00:00,1,43982.8813537912,46438.0,40594.5
2024-12-30,2024-12-31 20:00:00,1,43489.39685166993,45461.0,38417.45
2024-12-30,2024-12-31 21:00:00,1,41646.569255309296,44436.0,36803.04
2024-12-30,2024-12-31 22:00:00,1,40079.03089793549,42933.0,35567.36
2024-12-30,2024-12-31 23:00:00,1,38111.58269422019,41061.0,34362.94
2024-12-30,2025-01-01 00:00:00,2,33761.95391454478,32297.0,32707.51
2024-12-30,2025-01-01 01:00:00,2,32317.486929483683,30678.0,31196.05
2024-12-30,2025-01-01 02:00:00,2,30183.286105888525,28892.0,29674.85
2024-12-30,2025-01-01 03:00:00,2,29540.184440091085,27699.0,28490.58
2024-12-30,2025-01-01 04:00:00,2,28725.53091147544,27015.0,28012.95
2024-12-30,2025-01-01 05:00:00,2,29061.945986924144,26890.0,27879.66
2024-12-30,2025-01-01 06:00:00,2,29961.658088709635,27185.0,28192.02
2024-12-30,2025-01-01 07:00:00,2,31522.246121282384,27415.0,28743.58
2024-12-30,2025-01-01 08:00:00,2,34433.11313300771,28192.0,29101.85
2024-12-30,2025-01-01 09:00:00,2,41208.911455648886,30271.0,30100.08
2024-12-30,2025-01-01 10:00:00,2,42356.42303715202,32491.0,31868.47
2024-12-30,2025-01-01 11:00:00,2,43015.64022111966,34537.0,33388.06
