decision_date,dt,horizon,pred_mw,load_plan_mw,actual_mw,mape,is_eff
2026-07-17,2026-07-18 00:00:00,1,46016.650670121315,44939.0,45857.47,0.3471204803084723,0
2026-07-17,2026-07-18 01:00:00,1,43456.46344262382,42810.0,43708.98,0.5777223750730037,0
2026-07-17,2026-07-18 02:00:00,1,41685.433691436665,41018.0,41705.05,0.04703581116276794,0
2026-07-17,2026-07-18 03:00:00,1,40511.90210196128,39672.0,40413.7,0.24299210901570578,0
2026-07-17,2026-07-18 04:00:00,1,39405.33152250196,38708.0,39431.66,0.0667698937808909,0
2026-07-17,2026-07-18 05:00:00,1,38897.66555252512,37937.0,38689.15,0.5389509785692307,0
2026-07-17,2026-07-18 06:00:00,1,38701.621652402726,37856.0,38205.56,1.2984017310640865,0
2026-07-17,2026-07-18 07:00:00,1,40874.64281147962,39877.0,40769.55,0.2577728022007082,0
2026-07-17,2026-07-18 08:00:00,1,45997.67485928784,44440.0,45558.42,0.9641573594691052,0
2026-07-17,2026-07-18 09:00:00,1,48890.1504205882,47235.0,48890.17,4.0047747424824396e-05,0
2026-07-17,2026-07-18 10:00:00,1,50016.879119035664,49110.0,50683.78,1.3158073075140304,0
2026-07-17,2026-07-18 11:00:00,1,50347.92481210232,50206.0,51715.72,2.644834467929059,0
2026-07-17,2026-07-18 12:00:00,1,50110.65702388772,50012.0,51062.33,1.8637476513748672,0
2026-07-17,2026-07-18 13:00:00,1,51084.49893098353,50577.0,51846.13,1.469022025397977,0
2026-07-17,2026-07-18 14:00:00,1,51279.20195107742,50914.0,51617.23,0.6548744458441188,0
2026-07-17,2026-07-18 15:00:00,1,50760.81296488153,50114.0,50621.06,0.27607672553979024,0
2026-07-17,2026-07-18 16:00:00,1,49316.60057676643,49016.0,49134.55,0.37051438705845274,0
2026-07-17,2026-07-18 17:00:00,1,48433.828367873975,48339.0,48363.68,0.14504348691823093,0
2026-07-17,2026-07-18 18:00:00,1,49155.586473875075,48298.0,48631.1,1.0785001241491077,0
2026-07-17,2026-07-18 19:00:00,1,49279.21622810334,48790.0,49576.37,0.5993859007762461,0
2026-07-17,2026-07-18 20:00:00,1,50594.27458265189,49893.0,50925.98,0.6513481279066511,0
2026-07-17,2026-07-18 21:00:00,1,50419.825246483604,49162.0,50509.03,0.17661149603624282,0
2026-07-17,2026-07-18 22:00:00,1,49226.95438607727,47506.0,48592.17,1.3063511797832246,0
2026-07-17,2026-07-18 23:00:00,1,46925.44664694068,45678.0,46654.57,0.5806004576629551,0
2026-07-17,2026-07-19 00:00:00,2,44051.87670607753,43400.0,44232.85,0.4091377650828976,0
2026-07-17,2026-07-19 01:00:00,2,42021.25704497755,41303.0,41822.63,0.4749271984510653,0
2026-07-17,2026-07-19 02:00:00,2,39640.671047238866,39441.0,39952.2,0.7797541881576765,0
2026-07-17,2026-07-19 03:00:00,2,38624.13963551161,38022.0,38409.75,0.5581646209923483,0
2026-07-17,2026-07-19 04:00:00,2,38022.22432562807,36937.0,37304.66,1.9235246364075353,0
2026-07-17,2026-07-19 05:00:00,2,37145.28743384922,36030.0,36525.07,1.698059535133591,0
2026-07-17,2026-07-19 06:00:00,2,36136.96265393912,35414.0,35656.82,1.3465661097627823,0
2026-07-17,2026-07-19 07:00:00,2,36914.19520947774,36214.0,37054.99,0.37996175554833744,0
2026-07-17,2026-07-19 08:00:00,2,39010.403149072765,38205.0,39132.94,0.3131296828892425,0
2026-07-17,2026-07-19 09:00:00,2,39853.79614320379,40276.0,41041.41,2.893696529422872,0
2026-07-17,2026-07-19 10:00:00,2,42356.27168972682,42101.0,42725.58,0.8643728423889937,0
2026-07-17,2026-07-19 11:00:00,2,43895.01163412089,43577.0,44205.95,0.7033857792426242,0
2026-07-17,2026-07-19 12:00:00,2,44754.703570467114,44141.0,44965.43,0.46864097492870843,0
2026-07-17,2026-07-19 13:00:00,2,46237.09223859129,44828.0,45365.12,1.9221204277455675,0
2026-07-17,2026-07-19 14:00:00,2,45677.603911696424,45025.0,45232.16,0.9847946940770026,0
2026-07-17,2026-07-19 15:00:00,2,44500.07086568978,44504.0,44571.32,0.1598542163665399,0
2026-07-17,2026-07-19 16:00:00,2,43711.92796234379,43978.0,43737.24,0.057872965134991135,0
2026-07-17,2026-07-19 17:00:00,2,43330.02344659936,43890.0,43855.91,1.1991235694360007,0
2026-07-17,2026-07-19 18:00:00,2,44709.57451403832,44557.0,44879.25,0.3780711263260363,0
2026-07-17,2026-07-19 19:00:00,2,46271.01950433867,45571.0,46225.14,0.09925227774036122,0
2026-07-17,2026-07-19 20:00:00,2,48083.77245906257,46885.0,47945.44,0.28852057476700743,0
2026-07-17,2026-07-19 21:00:00,2,48546.225898517434,46799.0,48189.26,0.7407582073628687,0
2026-07-17,2026-07-19 22:00:00,2,46940.22488521158,45388.0,47048.3,0.22971098804509846,0
2026-07-17,2026-07-19 23:00:00,2,45395.19553697048,43666.0,45451.03,0.12284531952195099,0
2026-07-18,2026-07-19 00:00:00,1,44698.24489669494,43400.0,44232.85,1.0521476610594598,0
2026-07-18,2026-07-19 01:00:00,1,41982.13472277045,41303.0,41822.63,0.3813837694340337,0
2026-07-18,2026-07-19 02:00:00,1,40317.85188334479,39441.0,39952.2,0.9152234003253682,0
2026-07-18,2026-07-19 03:00:00,1,39005.61654614449,38022.0,38409.75,1.5513419018465122,0
2026-07-18,2026-07-19 04:00:00,1,38176.38873124446,36937.0,37304.66,2.336782405320014,0
2026-07-18,2026-07-19 05:00:00,1,37435.494695713336,36030.0,36525.07,2.4926021927222495,0
2026-07-18,2026-07-19 06:00:00,1,36478.00084628702,35414.0,35656.82,2.303012008045074,0
2026-07-18,2026-07-19 07:00:00,1,37656.668716291795,36214.0,37054.99,1.6237454558530369,0
2026-07-18,2026-07-19 08:00:00,1,39587.61784139646,38205.0,39132.94,1.1618800974229297,0
2026-07-18,2026-07-19 09:00:00,1,40879.58929140913,40276.0,41041.41,0.39428642580962137,0
2026-07-18,2026-07-19 10:00:00,1,42796.99181096939,42101.0,42725.58,0.1671406472876159,0
2026-07-18,2026-07-19 11:00:00,1,44154.919781744145,43577.0,44205.95,0.11543744282353767,0
2026-07-18,2026-07-19 12:00:00,1,44997.74419080668,44141.0,44965.43,0.07186452082562704,0
2026-07-18,2026-07-19 13:00:00,1,45320.42777523461,44828.0,45365.12,0.09851671232302017,0
2026-07-18,2026-07-19 14:00:00,1,45116.18290152552,45025.0,45232.16,0.25640406842052815,0
2026-07-18,2026-07-19 15:00:00,1,44638.166283380764,44504.0,44571.32,0.14997600111633302,0
2026-07-18,2026-07-19 16:00:00,1,43908.47596641521,43978.0,43737.24,0.39151068155011615,0
2026-07-18,2026-07-19 17:00:00,1,43823.65293823971,43890.0,43855.91,0.07355237130022048,0
2026-07-18,2026-07-19 18:00:00,1,44369.506217130096,44557.0,44879.25,1.1358117233908855,0
2026-07-18,2026-07-19 19:00:00,1,46281.83820718093,45571.0,46225.14,0.12265664783477673,0
2026-07-18,2026-07-19 20:00:00,1,47997.04927629801,46885.0,47945.44,0.10764167832854232,0
2026-07-18,2026-07-19 21:00:00,1,48299.87816838247,46799.0,48189.26,0.22954942321685134,0
2026-07-18,2026-07-19 22:00:00,1,46455.39096750871,45388.0,47048.3,1.260213509290007,0
2026-07-18,2026-07-19 23:00:00,1,44948.286834021674,43666.0,45451.03,1.1061205125127531,0
2026-07-18,2026-07-20 00:00:00,2,43595.33749698068,43613.0,43662.0,0.15267853744518625,0
2026-07-18,2026-07-20 01:00:00,2,41310.90973507375,41313.0,41223.88,0.21111485642242514,0
2026-07-18,2026-07-20 02:00:00,2,39236.48108948056,39403.0,39225.14,0.028912808164773467,0
2026-07-18,2026-07-20 03:00:00,2,37856.196588296945,38025.0,37979.36,0.3242903822051117,0
2026-07-18,2026-07-20 04:00:00,2,37524.84469966597,37214.0,37073.77,1.2166949831807576,0
2026-07-18,2026-07-20 05:00:00,2,36593.8818828625,36800.0,36428.95,0.45274948320636116,0
2026-07-18,2026-07-20 06:00:00,2,37398.085568919785,37585.0,37102.33,0.7971347592449946,0
2026-07-18,2026-07-20 07:00:00,2,40536.98606564043,41571.0,40588.88,0.12785259006794536,0
2026-07-18,2026-07-20 08:00:00,2,48881.50712230578,49158.0,48815.78,0.13464318772696712,0
2026-07-18,2026-07-20 09:00:00,2,51996.56392910463,53000.0,53109.62,2.0957711068077134,0
2026-07-18,2026-07-20 10:00:00,2,54195.48498488574,54750.0,54789.48,1.0841406326803285,0
2026-07-18,2026-07-20 11:00:00,2,55159.05241414165,56262.0,56259.9,1.9567179924926064,0
2026-07-18,2026-07-20 12:00:00,2,55094.6943527809,55539.0,55520.92,0.7676847703876308,0
2026-07-18,2026-07-20 13:00:00,2,56310.99630619713,56702.0,56778.13,0.8227352570485661,0
2026-07-18,2026-07-20 14:00:00,2,57386.732253339746,57375.0,57455.01,0.11883688935091391,0
2026-07-18,2026-07-20 15:00:00,2,56666.44916922232,56474.0,56373.68,0.5193366287641965,0
2026-07-18,2026-07-20 16:00:00,2,55485.414307501545,55147.0,55246.96,0.43161525539422674,0
2026-07-18,2026-07-20 17:00:00,2,54270.4437165424,54063.0,53951.01,0.592081068625778,0
2026-07-18,2026-07-20 18:00:00,2,52426.83265242125,52744.0,52526.11,0.18900571083361614,0
2026-07-18,2026-07-20 19:00:00,2,51812.95259263715,52910.0,52775.87,1.824541039992051,0
2026-07-18,2026-07-20 20:00:00,2,53237.36449804933,53982.0,54057.55,1.5172450507850785,0
2026-07-18,2026-07-20 21:00:00,2,53168.86900196995,53135.0,53630.72,0.8611687443876409,0
2026-07-18,2026-07-20 22:00:00,2,50576.00056688417,50923.0,51586.43,1.9587116866118293,0
2026-07-18,2026-07-20 23:00:00,2,49277.19081494605,48393.0,48429.38,1.750612572256868,0
2026-07-19,2026-07-20 00:00:00,1,43639.1940268236,43613.0,43662.0,0.052233001640787376,0
