decision_date,dt,horizon,pred_mw,load_plan_mw,actual_mw,mape
2026-08-09,2026-08-10 00:00:00,1,43373.454233679804,42994.0,43818.59,1.0158605430256713
2026-08-09,2026-08-10 01:00:00,1,41239.42749116363,40693.0,41893.81,1.5620028563560262
2026-08-09,2026-08-10 02:00:00,1,39204.67845844226,38812.0,40084.04,2.193794691248048
2026-08-09,2026-08-10 03:00:00,1,37778.30285943288,37400.0,39031.05,3.2096168065351147
2026-08-09,2026-08-10 04:00:00,1,36865.00682584229,36494.0,38133.46,3.3263521698731466
2026-08-09,2026-08-10 05:00:00,1,37140.19593017091,36575.0,38001.72,2.267065990247532
2026-08-09,2026-08-10 06:00:00,1,37775.99404125745,37336.0,38541.53,1.986262503700679
2026-08-09,2026-08-10 07:00:00,1,41609.194129224685,40719.0,42123.15,1.2201268679462878
2026-08-09,2026-08-10 08:00:00,1,48064.7171681215,47977.0,50230.87,4.312393617467716
2026-08-09,2026-08-10 09:00:00,1,51452.46530861975,51609.0,53825.86,4.409394836200017
2026-08-09,2026-08-10 10:00:00,1,52805.832093403165,53287.0,55880.49,5.502202837872096
2026-08-09,2026-08-10 11:00:00,1,54538.23296823412,54674.0,56738.07,3.877179875462591
2026-08-09,2026-08-10 12:00:00,1,53797.484558569944,53778.0,55719.55,3.4495351118773545
2026-08-09,2026-08-10 13:00:00,1,55079.80506466088,54935.0,57104.41,3.5454441002702257
2026-08-09,2026-08-10 14:00:00,1,56077.03318386411,55766.0,57867.95,3.0948336966073455
2026-08-09,2026-08-10 15:00:00,1,55944.228614376814,55038.0,57139.02,2.091025337191962
2026-08-09,2026-08-10 16:00:00,1,55082.51932779816,54182.0,56361.59,2.269401328461168
2026-08-09,2026-08-10 17:00:00,1,54084.1248426217,53112.0,55468.81,2.4963311045942733
2026-08-09,2026-08-10 18:00:00,1,52631.663475874935,52122.0,53800.79,2.173065719155919
2026-08-09,2026-08-10 19:00:00,1,52256.12441433067,52405.0,53976.51,3.1872857020013585
2026-08-09,2026-08-10 20:00:00,1,53019.832304936936,53368.0,55108.73,3.790502330688926
2026-08-09,2026-08-10 21:00:00,1,51879.560948410486,52396.0,53376.33,2.804181275838027
2026-08-09,2026-08-10 22:00:00,1,49901.25042661679,50269.0,51916.71,3.882101876993381
2026-08-09,2026-08-10 23:00:00,1,48384.84409551273,48196.0,49863.42,2.9652516904922854
2026-08-09,2026-08-11 00:00:00,2,45157.881628951014,45273.0,47070.7,4.0637134587949255
2026-08-09,2026-08-11 01:00:00,2,43126.18705783588,43022.0,44747.59,3.6234419376867386
2026-08-09,2026-08-11 02:00:00,2,40790.74131077631,41205.0,42909.87,4.9385577006495
2026-08-09,2026-08-11 03:00:00,2,40004.93859630763,39964.0,41348.15,3.2485405119512576
2026-08-09,2026-08-11 04:00:00,2,38945.325759194355,39098.0,40235.58,3.2067494511217363
2026-08-09,2026-08-11 05:00:00,2,38865.46879749349,39080.0,40201.8,3.3240581329853627
2026-08-09,2026-08-11 06:00:00,2,38857.634146586344,39405.0,40255.05,3.4714050868491246
2026-08-09,2026-08-11 07:00:00,2,42261.84254626342,42769.0,43392.82,2.606370025586217
2026-08-09,2026-08-11 08:00:00,2,48243.51475231609,49597.0,50574.53,4.609069521128336
2026-08-09,2026-08-11 09:00:00,2,51853.93224284806,52809.0,54324.91,4.548516982636408
2026-08-09,2026-08-11 10:00:00,2,53283.91001013729,54390.0,55552.11,4.083013210232178
2026-08-09,2026-08-11 11:00:00,2,54364.16861317015,55451.0,56882.72,4.427621229838959
2026-08-09,2026-08-11 12:00:00,2,53771.3658966108,54638.0,55961.01,3.9128030451723514
2026-08-09,2026-08-11 13:00:00,2,54554.6473922927,55638.0,57070.44,4.408223605262722
2026-08-09,2026-08-11 14:00:00,2,55926.93951724247,56580.0,58347.55,4.148606895675195
2026-08-09,2026-08-11 15:00:00,2,56170.022494287885,55761.0,57306.81,1.9836865910214034
2026-08-09,2026-08-11 16:00:00,2,55598.35988422723,55092.0,56463.51,1.5322287186410637
2026-08-09,2026-08-11 17:00:00,2,54170.311859444395,54062.0,55300.04,2.0429065522477123
2026-08-09,2026-08-11 18:00:00,2,52774.19350309849,53106.0,54038.54,2.3397125401639483
2026-08-09,2026-08-11 19:00:00,2,52945.34999567981,53200.0,54415.05,2.7009072018130857
2026-08-09,2026-08-11 20:00:00,2,54042.96615766336,53859.0,55268.46,2.2173475474739845
2026-08-09,2026-08-11 21:00:00,2,52923.39846647462,52684.0,54119.02,2.2092446121998885
2026-08-09,2026-08-11 22:00:00,2,50885.29023923237,50817.0,52164.35,2.4519806357553233
2026-08-09,2026-08-11 23:00:00,2,48372.447912426534,48713.0,49325.33,1.9318311455259747
2026-08-10,2026-08-11 00:00:00,1,45442.72284598384,45273.0,47070.7,3.4585785935118025
2026-08-10,2026-08-11 01:00:00,1,43928.346058661875,43022.0,44747.59,1.830811315957176
2026-08-10,2026-08-11 02:00:00,1,42222.45849843249,41205.0,42909.87,1.6019892429585836
2026-08-10,2026-08-11 03:00:00,1,40681.01524667679,39964.0,41348.15,1.613457321121286
2026-08-10,2026-08-11 04:00:00,1,39696.02718064116,39098.0,40235.58,1.340984321237173
2026-08-10,2026-08-11 05:00:00,1,39669.64120233199,39080.0,40201.8,1.3237188326592573
2026-08-10,2026-08-11 06:00:00,1,39724.27428770515,39405.0,40255.05,1.3185319911286988
2026-08-10,2026-08-11 07:00:00,1,43127.29265498658,42769.0,43392.82,0.6119153929461582
2026-08-10,2026-08-11 08:00:00,1,49624.01400878108,49597.0,50574.53,1.8794361336010819
2026-08-10,2026-08-11 09:00:00,1,53260.99799751055,52809.0,54324.91,1.9584238657541282
