segment,desc,n,MAPE,MAE,RMSE,p50_APE,p90_APE,p95_APE,share_%,delta_vs_all_pp,excess_contrib
arife,Bayram oncesi gun (arefe),672,6.9999,2080.1152,2575.5033,6.1137,13.6304,16.2671,2.3609,5.0482,3392.3988
bayram+arife,Bayram veya arife,864,6.8278,2006.4757,2536.4109,5.6627,13.9921,16.4643,3.0354,4.8761,4212.9776
dini bayram,Ramazan+Kurban bayram gunleri (HOLIDAY_DATES),672,6.4908,1818.6520,2343.2545,5.1330,13.9712,16.8923,2.3609,4.5391,3050.2790
arefe-1 (bayram-2),Arefe'den 1 gun once (bayram-2),672,6.2095,1945.1172,2515.3096,5.0940,13.4887,15.8035,2.3609,4.2578,2861.2167
bayram+1 (after),Bayram bitiminden sonraki gun,672,5.8645,1755.4721,2379.4788,4.6013,13.2318,15.8497,2.3609,3.9128,2629.3797
tatil genis (bayram+resmi+arife+after+bridge),Tum tatil-etkili gunler,1824,4.8281,1540.8626,2123.9578,3.3009,11.6409,14.4852,6.4081,2.8764,5246.5225
resmi tatil,"1 Oca, 23 Nis, 1 May vb (OFFICIAL)",528,2.7498,1012.0113,1415.8321,2.1335,5.7014,7.3919,1.8550,0.7981,421.3928
Ramazan ayi,"Ramazan ayi (2025-03-01..03-30, 2026-02-18..03-19)",2880,2.4279,928.8240,1296.6464,1.7639,5.1608,7.2598,10.1180,0.4762,1371.5218
gundüz 10-16,Gunduz,8302,2.3114,987.2128,1348.6686,1.6885,4.9348,6.4018,29.1667,0.3597,2985.8448
H2,Horizon 2 (D+2),14232,2.2725,910.2249,1256.8585,1.6871,4.7238,6.2399,50.0000,0.3208,4565.8852
Ramazan (bayram haric),Ramazan ayi bayram gunleri haric,2784,2.2343,877.7083,1207.4264,1.7082,4.6688,6.2784,9.7808,0.2826,786.8391
sabah ramp 06-09,Sabah ramp,4744,2.0615,753.6031,1099.7874,1.4192,4.3361,5.6199,16.6667,0.1098,520.8023
hafta sonu,Cumartesi-Pazar,8160,1.9575,728.4973,995.8503,1.4213,4.2452,5.5699,28.6678,0.0058,46.9736
ALL,"Tum saatler (28,464 tahmin; 594 gun, H1+H2)",28464,1.9517,779.6085,1104.3021,1.3863,4.1386,5.5385,100.0000,0.0000,0.0000
hafta ici,Pazartesi-Cuma,20304,1.9494,800.1497,1144.9978,1.3708,4.0888,5.5241,71.3322,-0.0023,0.0000
aksam pik 17-22,Aksam pik,7116,1.8893,817.5939,1110.8328,1.4140,3.9686,5.1303,25.0000,-0.0624,0.0000
bridge-day,Resmi/dini + hafta sonu arasi tek is gunu,240,1.8781,768.7914,1005.4129,1.4496,4.1946,5.3415,0.8432,-0.0737,0.0000
normal (loose),Sadece dini+resmi tatil haric (arife/bridge dahil),27264,1.8244,749.4976,1048.3315,1.3459,3.9339,5.0480,95.7841,-0.1273,0.0000
gece 23,23:00,1186,1.8003,714.6492,963.5007,1.3812,3.7733,4.8031,4.1667,-0.1514,0.0000
tatil disi hafta sonu,Normal hafta sonu,6960,1.7474,676.1955,908.2416,1.3358,3.8694,4.8190,24.4519,-0.2043,0.0000
normal (strict),Bayram/resmi/arife/after/bridge/ramazan disi gunler,23952,1.7229,718.2319,988.9933,1.2995,3.7383,4.7260,84.1484,-0.2288,0.0000
tatil disi hafta ici,Normal hafta ici,16992,1.7129,735.4502,1020.2260,1.2852,3.6832,4.6943,59.6965,-0.2389,0.0000
H1,Horizon 1 (D+1),14232,1.6309,648.9922,926.9698,1.1562,3.4847,4.5784,50.0000,-0.3208,0.0000
gece 00-05,Gece dusuk yuk,7116,1.5466,527.5817,748.8976,1.0860,3.3688,4.4333,25.0000,-0.4051,0.0000
