dt,date,hour,weekday,ape,ae,pred_mw,actual_mw,is_holiday,is_official,is_arife,is_after,is_bridge,is_ramadan
2025-06-09 08:00:00,2025-06-09,8,0,37.46337399028381,9769.177928287747,35845.78792828775,26076.61,True,False,False,True,False,False
2025-04-01 08:00:00,2025-04-01,8,1,31.746305237328237,7483.762884579428,31057.41288457943,23573.65,True,False,False,True,False,False
2025-04-01 09:00:00,2025-04-01,9,1,28.307790383786497,7312.49955050915,33144.60955050915,25832.11,True,False,False,True,False,False
2026-01-01 09:00:00,2026-01-01,9,3,26.005195300824347,8404.197785109547,40721.57778510955,32317.38,False,True,False,False,False,False
2026-05-26 08:00:00,2026-05-26,8,1,24.78796343109341,6690.449803388816,33681.16980338882,26990.72,False,False,True,False,False,False
2026-03-20 15:00:00,2026-03-20,15,4,23.694044248403966,6706.416780370029,35010.64678037003,28304.23,True,False,True,True,False,False
2026-03-20 14:00:00,2026-03-20,14,4,23.1964070045833,6615.589761659452,35135.47976165945,28519.89,True,False,True,True,False,False
2025-06-06 09:00:00,2025-06-06,9,4,22.135086759092555,5467.226978449278,30166.596978449277,24699.37,True,False,True,False,False,False
2026-05-26 09:00:00,2026-05-26,9,1,21.849625556846796,6366.358172936787,35503.50817293679,29137.15,False,False,True,False,False,False
2025-06-09 08:00:00,2025-06-09,8,0,21.757401713016204,5673.592790836556,31750.202790836556,26076.61,True,False,False,True,False,False
2025-04-01 10:00:00,2025-04-01,10,1,21.651824976216037,6062.729676772749,34063.73967677275,28001.01,True,False,False,True,False,False
2026-03-20 16:00:00,2026-03-20,16,4,21.26347985262064,6104.296406262496,34812.186406262495,28707.89,True,False,True,True,False,False
2026-01-01 08:00:00,2026-01-01,8,3,21.11917326801914,6494.612513645108,37246.82251364511,30752.21,False,True,False,False,False,False
2025-06-06 11:00:00,2025-06-06,11,4,20.664097750900485,5367.970532225121,31345.25053222512,25977.28,True,False,True,False,False,False
2025-04-01 08:00:00,2025-04-01,8,1,20.48554543433257,4829.19078128054,28402.84078128054,23573.65,True,False,False,True,False,False
2025-06-09 07:00:00,2025-06-09,7,0,20.37835039380413,4823.71245151147,28494.48245151147,23670.77,True,False,False,True,False,False
2026-01-01 10:00:00,2026-01-01,10,3,20.294569425327648,7087.541481943219,42010.881481943215,34923.34,False,True,False,False,False,False
2025-06-10 14:00:00,2025-06-10,14,1,19.853330361400996,9055.87230171998,36557.99769828002,45613.87,False,False,False,True,False,False
2026-03-21 09:00:00,2026-03-21,9,5,19.75549449209569,5446.979014712277,33018.94901471228,27571.97,True,False,False,True,False,False
2026-03-20 11:00:00,2026-03-20,11,4,19.68395747474482,5836.106393665828,35485.15639366583,29649.05,True,False,True,True,False,False
