decision_date,dt,horizon,pred_mw,load_plan_mw,actual_mw,mape_hour,mae_mw
2026-08-18,2026-08-19 00:00:00,1,44353.07580639676,43333.0,,,
2026-08-18,2026-08-19 01:00:00,1,42225.924511155805,41270.0,,,
2026-08-18,2026-08-19 02:00:00,1,39975.12676708179,39191.0,,,
2026-08-18,2026-08-19 03:00:00,1,38847.70639998805,38232.0,,,
2026-08-18,2026-08-19 04:00:00,1,38143.86189146672,37284.0,,,
2026-08-18,2026-08-19 05:00:00,1,38340.656901206334,37330.0,,,
2026-08-18,2026-08-19 06:00:00,1,38667.31234448382,37662.0,,,
2026-08-18,2026-08-19 07:00:00,1,41545.96846449975,40344.0,,,
2026-08-18,2026-08-19 08:00:00,1,48152.38091937142,46649.0,,,
2026-08-18,2026-08-19 09:00:00,1,51178.082037480715,50091.0,,,
2026-08-18,2026-08-19 10:00:00,1,51783.62840782575,51698.0,,,
2026-08-18,2026-08-19 11:00:00,1,52544.27317845552,52814.0,,,
2026-08-18,2026-08-19 12:00:00,1,52093.40483564705,52260.0,,,
2026-08-18,2026-08-19 13:00:00,1,53206.99016053305,53365.0,,,
2026-08-18,2026-08-19 14:00:00,1,53977.96888055809,54290.0,,,
2026-08-18,2026-08-19 15:00:00,1,53049.825166571536,53729.0,,,
2026-08-18,2026-08-19 16:00:00,1,40949.81181653642,53148.0,,,
2026-08-18,2026-08-19 17:00:00,1,40880.79690128654,52231.0,,,
2026-08-18,2026-08-19 18:00:00,1,40750.83704204493,51011.0,,,
2026-08-18,2026-08-19 19:00:00,1,40999.32716850906,51088.0,,,
2026-08-18,2026-08-19 20:00:00,1,41402.38512007414,51672.0,,,
2026-08-18,2026-08-19 21:00:00,1,40933.38974143776,50283.0,,,
2026-08-18,2026-08-19 22:00:00,1,40379.3996017325,48012.0,,,
2026-08-18,2026-08-19 23:00:00,1,39566.89451398477,45946.0,,,
2026-08-18,2026-08-20 00:00:00,2,45093.22600931302,43677.0,,,
2026-08-18,2026-08-20 01:00:00,2,43101.18927962174,41853.0,,,
2026-08-18,2026-08-20 02:00:00,2,41217.503717981635,40074.0,,,
2026-08-18,2026-08-20 03:00:00,2,40018.3439833152,38785.0,,,
2026-08-18,2026-08-20 04:00:00,2,39553.40488690076,37884.0,,,
2026-08-18,2026-08-20 05:00:00,2,39473.40274938078,37766.0,,,
2026-08-18,2026-08-20 06:00:00,2,39458.61963578567,38059.0,,,
2026-08-18,2026-08-20 07:00:00,2,42609.99266273515,40827.0,,,
2026-08-18,2026-08-20 08:00:00,2,48682.81615320094,47392.0,,,
2026-08-18,2026-08-20 09:00:00,2,51715.21510378909,50944.0,,,
2026-08-18,2026-08-20 10:00:00,2,52646.0593226528,52583.0,,,
2026-08-18,2026-08-20 11:00:00,2,53182.50559289841,53964.0,,,
2026-08-18,2026-08-20 12:00:00,2,53183.02407326269,53426.0,,,
2026-08-18,2026-08-20 13:00:00,2,53886.11381964354,54547.0,,,
2026-08-18,2026-08-20 14:00:00,2,55094.07320625043,55224.0,,,
2026-08-18,2026-08-20 15:00:00,2,52455.64940374555,54539.0,,,
2026-08-18,2026-08-20 16:00:00,2,51741.51037588987,53819.0,,,
2026-08-18,2026-08-20 17:00:00,2,50948.43632674589,52764.0,,,
2026-08-18,2026-08-20 18:00:00,2,50259.39176558591,51550.0,,,
2026-08-18,2026-08-20 19:00:00,2,50282.16970022565,51386.0,,,
2026-08-18,2026-08-20 20:00:00,2,50600.286303855435,51579.0,,,
2026-08-18,2026-08-20 21:00:00,2,49477.109244991654,49976.0,,,
2026-08-18,2026-08-20 22:00:00,2,47673.57535064813,48064.0,,,
2026-08-18,2026-08-20 23:00:00,2,43585.64589787067,45532.0,,,
