number,value,datetime_start,datetime_complete,duration,params_colsample_bytree,params_learning_rate,params_max_depth,params_min_child_samples,params_n_estimators,params_num_leaves,params_reg_alpha,params_reg_lambda,params_subsample,state
0,1.9494665963947473,2026-08-20 02:43:32.760511,2026-08-20 02:45:32.383221,0 days 00:01:59.622710,0.6624074561769746,0.0639196365086843,12,15,1800,75,0.8661761457749352,0.6011150117432088,0.662397808134481,COMPLETE
1,2.05056322678833,2026-08-20 02:45:32.383221,2026-08-20 02:49:04.056395,0 days 00:03:31.673174,0.6849356442713105,0.07819459112971966,-1,26,2200,115,0.3042422429595377,0.5247564316322378,0.6727299868828402,COMPLETE
2,2.0403000910771425,2026-08-20 02:49:04.056395,2026-08-20 02:49:15.624117,0 days 00:00:11.567722,0.7168578594140873,0.05671117368334276,3,51,1000,82,0.7851759613930136,0.19967378215835974,0.7465447373174767,COMPLETE
3,2.0994226471013486,2026-08-20 02:49:15.624117,2026-08-20 02:49:47.987130,0 days 00:00:32.363013,0.6682096494749166,0.022787024763199864,7,96,1800,92,0.9656320330745594,0.8083973481164611,0.6260206371941118,COMPLETE
4,1.9652826102314338,2026-08-20 02:49:47.987130,2026-08-20 02:51:39.363726,0 days 00:01:51.376596,0.6488152939379115,0.06105398159072942,0,13,1500,67,0.9093204020787821,0.2587799816000169,0.798070764044508,COMPLETE
5,2.0597364443819113,2026-08-20 02:51:39.364725,2026-08-20 02:51:55.435163,0 days 00:00:16.070438,0.6739417822102108,0.05120408127066865,3,80,1700,110,0.9394989415641891,0.8948273504276488,0.9878338511058234,COMPLETE
6,1.9391409243101203,2026-08-20 02:51:55.435163,2026-08-20 02:52:30.415722,0 days 00:00:34.980559,0.6180909155642152,0.02530955012311517,11,45,1100,102,0.2713490317738959,0.8287375091519293,0.7301321323053057,COMPLETE
7,2.3474053573727147,2026-08-20 02:52:30.415722,2026-08-20 02:52:33.070469,0 days 00:00:02.654747,0.9208787923016158,0.052561764989494913,2,99,1000,73,0.7722447692966574,0.1987156815341724,0.6298202574719083,COMPLETE
8,2.035171834274659,2026-08-20 02:52:33.070469,2026-08-20 02:53:13.474127,0 days 00:00:40.403658,0.9085081386743783,0.06241144063085703,10,42,2100,31,0.11586905952512971,0.8631034258755935,0.6296178606936361,COMPLETE
9,2.125203190872257,2026-08-20 02:53:13.474127,2026-08-20 02:53:19.630079,0 days 00:00:06.155952,0.7300733288106989,0.02381350101716142,3,68,1300,105,0.8872127425763265,0.4722149251619493,0.8918424713352255,COMPLETE
10,2.0081935853221142,2026-08-20 02:53:19.630079,2026-08-20 02:53:59.969973,0 days 00:00:40.339894,0.8262452362725613,0.03693272187534587,8,48,2400,146,0.494446992505587,0.0796110213377722,0.8392701643962919,COMPLETE
11,1.9719314994833341,2026-08-20 02:53:59.969973,2026-08-20 02:54:45.050659,0 days 00:00:45.080686,0.6125516819803676,0.0767485831984228,12,13,1300,52,0.5635407187753385,0.5916836359300597,0.7157343310557601,COMPLETE
12,1.9908907604204498,2026-08-20 02:54:45.050659,2026-08-20 02:55:07.356760,0 days 00:00:22.306101,0.7874820875551369,0.038983867313889156,12,38,800,133,0.03358588493447223,0.6971309744135649,0.7341642531462227,COMPLETE
13,1.9882007717604508,2026-08-20 02:55:07.356760,2026-08-20 02:55:35.822336,0 days 00:00:28.465576,0.6011006228450518,0.03468397644898561,9,64,1800,54,0.5228969776085808,0.9980347083901353,0.6899436943855074,COMPLETE
14,1.980992644161932,2026-08-20 02:55:35.823334,2026-08-20 02:56:09.919399,0 days 00:00:34.096065,0.7653656398770851,0.06848396206682986,6,30,2500,93,0.2942416004428993,0.6754128334846377,0.7675174732676825,COMPLETE
15,2.0006970805847284,2026-08-20 02:56:09.919399,2026-08-20 02:57:16.323929,0 days 00:01:06.404530,0.8561711433906496,0.04460681656131883,10,24,2100,122,0.6594122413177108,0.7247800112105734,0.8324182894738495,COMPLETE
