target_date,horizon,n,mape_pct,mae_mw,teias_lp_mape_pct,updated_at
2026-08-19,1,24,1.11,556.6,2.108,2026-09-06T11:26:40
2026-08-20,2,24,1.279,638.3,2.67,2026-09-06T11:26:40
2026-08-21,1,24,1.002,506.9,1.573,2026-09-06T11:26:40
2026-08-22,1,24,1.453,671.1,1.291,2026-09-06T11:26:40
2026-08-22,2,24,2.362,1115.1,1.199,2026-09-06T11:26:40
2026-08-23,1,24,0.75,324.8,1.355,2026-09-06T11:26:40
2026-08-23,2,24,4.196,1839.3,,2026-09-06T11:26:40
2026-08-24,1,24,4.426,2380.7,2.393,2026-09-06T11:26:40
2026-08-24,2,24,2.417,1249.5,2.393,2026-09-06T11:26:40
2026-08-25,1,24,1.204,618.4,2.897,2026-09-06T11:26:40
2026-08-25,2,24,3.683,1896.5,2.897,2026-09-06T11:26:40
2026-08-26,1,24,0.35,170.1,2.597,2026-09-06T11:26:40
2026-08-26,2,24,0.545,274.1,2.597,2026-09-06T11:26:40
2026-08-27,2,24,1.06,500.1,0.813,2026-09-06T11:26:40
2026-08-28,1,24,1.994,960.5,2.165,2026-09-06T11:26:40
2026-08-29,1,24,5.295,2277.0,2.189,2026-09-06T11:26:40
2026-08-29,2,24,4.907,2105.5,,2026-09-06T11:26:40
2026-08-30,1,24,1.651,617.5,7.419,2026-09-06T11:26:40
2026-08-30,2,24,2.076,772.0,7.419,2026-09-06T11:26:40
2026-08-31,1,24,5.184,2529.8,1.529,2026-09-06T11:26:40
2026-08-31,2,24,1.665,738.1,1.529,2026-09-06T11:26:40
2026-09-01,1,24,1.688,802.4,4.522,2026-09-06T11:26:40
2026-09-01,2,24,1.683,849.1,4.522,2026-09-06T11:26:40
2026-09-02,1,24,1.051,487.5,3.212,2026-09-06T11:26:40
2026-09-02,2,24,0.935,469.6,3.212,2026-09-06T11:26:40
2026-09-03,1,24,0.805,370.8,1.475,2026-09-06T11:26:40
2026-09-03,2,24,0.88,419.0,1.475,2026-09-06T11:26:40
2026-09-04,1,24,1.138,538.6,1.426,2026-09-06T11:26:40
2026-09-04,2,24,1.526,732.6,1.426,2026-09-06T11:26:40
2026-09-05,1,24,1.929,890.7,2.109,2026-09-06T11:26:40
2026-09-05,2,24,3.96,1773.3,2.109,2026-09-06T11:26:40
